Manager Rating,Salary (US$000),Years Exp,Origin
8.5,93,7,External
4.1,59,10,Internal
5.8,75,6,External
4.8,69,8,External
8.3,77,17,Internal
7,76,5,Internal
7.3,88,4,External
7.7,83,9,External
9.1,100,7,External
7.1,86,4,External
2.6,53,14,Internal
8.6,78,9,Internal
7.8,69,19,Internal
6,87,11,Internal
4.8,67,5,Internal
4.9,76,0,External
5.8,63,15,Internal
4.6,69,10,Internal
4.6,62,4,Internal
5.7,75,5,External
5.9,74,6,Internal
6.8,74,7,Internal
7.7,91,3,External
7.6,63,13,Internal
3.7,58,8,Internal
8,79,15,Internal
7.4,64,5,External
5.2,73,6,External
7,77,6,External
8.9,70,10,Internal
5.4,66,14,Internal
3.1,51,6,Internal
5.8,76,5,External
8.8,89,10,External
6.6,85,5,Internal
6.9,61,12,Internal
7.8,87,10,Internal
5.3,68,7,Internal
6.2,73,9,Internal
8.1,80,16,Internal
7.6,81,5,External
5.4,65,11,Internal
5.7,74,5,External
1.8,55,6,Internal
6.5,88,3,External
6.3,64,8,External
5,59,8,Internal
3.6,69,3,Internal
8.2,82,11,External
6.3,84,4,Internal
5.1,76,11,Internal
6.1,82,16,Internal
3.4,59,7,Internal
6,61,11,Internal
6.6,64,16,Internal
4.7,59,7,Internal
5.3,68,7,External
5,68,6,External
4.8,67,16,Internal
9.1,91,7,External
5.7,68,16,Internal
4.6,53,10,Internal
4.4,68,7,External
6.6,81,5,Internal
5.6,67,14,Internal
4,62,7,Internal
6.3,85,6,External
5.4,84,5,External
6.2,57,6,Internal
4.1,61,15,Internal
3.8,62,4,External
5,59,11,Internal
6.1,67,12,Internal
3.9,53,9,Internal
4.8,74,5,External
5.4,61,5,External
5.5,70,10,Internal
7.6,82,4,Internal
5.9,70,8,External
4.5,62,4,External
4.7,71,3,External
6.7,89,6,External
5,74,8,External
4.2,67,7,External
2.7,72,7,Internal
7.4,66,12,Internal
6.8,65,11,Internal
5.3,57,21,Internal
6.7,81,5,External
6.2,75,6,External
7.2,80,8,External
3.9,70,8,Internal
6.7,81,7,External
7.5,76,8,External
5,67,16,Internal
6.5,74,10,Internal
8.5,103,2,External
5.2,68,11,Internal
4.9,76,3,External
6.1,64,10,Internal
4.6,57,5,Internal
3.1,48,10,Internal
5.2,66,5,Internal
4.5,63,13,Internal
5.7,76,5,External
5.7,74,7,External
6,59,15,Internal
4.7,60,9,Internal
7.6,73,15,Internal
5.2,77,4,External
7.9,63,17,Internal
4.8,71,7,External
4.2,65,8,Internal
7.3,76,4,External
7,81,6,External
7,73,11,Internal
9,85,7,External
9,90,9,Internal
6.1,72,5,External
5.8,68,9,Internal
7.1,81,5,External
5,67,8,External
5.2,84,5,External
4.5,63,7,Internal
6,78,6,External
5.8,66,7,Internal
3.7,61,7,Internal
8.1,98,4,External
4.7,61,5,Internal
4.3,61,13,Internal
3.9,55,9,Internal
7.1,75,5,External
5.5,62,10,Internal
6.1,69,6,Internal
6,59,5,Internal
4.6,55,12,Internal
3.9,58,4,Internal
5.5,73,5,Internal
5.4,85,3,External
7.3,91,2,External
5.6,79,6,External
4.6,61,9,Internal
6.2,74,5,Internal
7.5,71,12,Internal
6.3,73,14,Internal
7.2,69,7,Internal
6.2,79,11,Internal
6,76,6,External
7.7,89,3,External
5.3,73,7,External
