RoomsClean,Number of Crews,SqFt Cleaned
51,16,20400
37,10,14800
37,12,14800
46,16,18400
45,16,18000
11,4,4400
6,2,2400
19,4,7600
29,6,11600
14,2,5600
47,12,18800
37,8,14800
60,16,24000
6,2,2400
11,2,4400
10,2,4000
19,6,7600
33,10,13200
46,16,18400
69,16,27600
41,10,16400
19,6,7600
6,2,2400
27,6,10800
35,10,14000
55,12,22000
15,4,6000
18,4,7200
72,16,28800
22,8,8800
55,10,22000
65,16,26000
26,6,10400
52,10,20800
55,12,22000
33,8,13200
38,10,15200
23,8,9200
38,8,15200
10,2,4000
65,16,26000
31,8,12400
33,8,13200
47,12,18800
42,10,16800
78,16,31200
6,2,2400
6,2,2400
40,8,16000
39,12,15600
9,4,3600
22,4,8800
41,12,16400
