Price,Beds,Baths,Square Feet,Miles to Resort,Miles to Base,Acres,Cars,Years Old,DoM
330,3,2,1771,15,20,0.23,2,4,127
400,3,2,1213,5,1,0.17,1,5,98
416,3,2.5,1884,2,7,0.18,2,16,105
420,3,2,1922,1,6,0.29,1,80,103
496,4,2.5,1858,0,5,0.52,2,9,39
690,3,2.25,1948,1,6,21.91,2,20,403
230,2,1,1200,52,48,40,2,21,211
448,3,2,2002,2,7,0.18,1,18,126
160,1,1,768,45,50,0.29,0,37,67
250,1,1,930,45,50,0.59,0,26,92
252,3,2,1160,15,20,2.52,0,17,296
372.6,2,2,1300,3,2,0.67,2,67,158
378,3,2.75,1816,0,5,0.1,2,18,191
430,3,2.5,1774,7,2,0.18,2,3,150
474,4,2.5,1700,3,8,0.25,2,19,308
165,2,1,1440,31,36,0.45,0,76,62
228,4,1,1598,31,36,0.32,1,14,45
278,3,2,1400,2,7,0.23,1,14,228
290,4,2,3250,31,36,0.5,2,19,94
290,2,1.75,1040,5,10,6.12,3,26,126
312,4,1,1348,0,5,0.11,0,23,121
335,3,2.5,2083,20,15,1.33,2,15,173
320,3,2,2000,20,15,1,0,4,20
384,3,2,2160,0,5,0.125,0,20,54
420,3,2.5,2240,7,2,0.25,2,13,87
515,4,2.5,2340,7,2,0.34,2,4,120
235,2,2,1590,35,40,0.49,2,15,54
300,3,2,1456,3,8,0.24,1,78,172
321,4,2.5,1600,10,15,2.5,0,19,16
340,2,1,968,5,5,1.86,0,11,23
364,3,2.75,2100,0,5,0.125,2,20,126
518,6,4,2016,2,3,0.68,0,23,63
388,3,2,2464,20,15,0.96,2,3,61
530,4,2,1900,0,5,10.5,2,15,102
190,2,1,1058,32,37,0.5,0,69,62
300,2,2,1500,5,10,0.25,2,35,92
330,4,2,2000,10,5,0.33,1,15,45
530,5,4,2525,15,10,0.78,2,5,21
470,4,2.5,1800,5,10,0.24,2,12,76
530,4,4,2700,20,15,1.2,3,15,85
610,6,4,3570,25,20,2.8,2,30,42
660,4,4.5,2950,7,2,0.67,4,4,135
540,5,4,2560,12,7,0.45,2,4,205
524,3,3.75,2755,2,3,0.23,3,23,412
640,6,4.75,3875,0,5,0.25,0,12,95
