MPG City,GPHM,Weight,Horsepower,Wheelbase,Price,Torque (foot lbs.),Displacement (cu.in.),Pounds/HP,Cargo Volume (EPA),Passenger Volume (EPA),Fuel Capacity,Combined Fuel Economy,Cylinders,Seating (Standard),Transmission Speeds,Transmission (Automatic/Manual),Height,Length,Width,Track (Front),Track (Rear),Curb Weight AT,Curb Weight MT,MPG Highway,Sales Volume,Residual Value after 36 Months,Model,Model Year,Type,Residual GPHM
27,3.7037037,2.694,160,101.2,19975,141,122,16.8375,16,81,13.2,30,4,4,5,M,55.1,172.2,67.9,58.5,58.5,,2694,33,30117,52,2003 Acura RSX 5-speed MT Current,2003,Car/Sedan,-0.409542137
20,5,3.47,225,106.9,28200,216,196,15.4222222,14,90,17.2,23,6,4,5,A,55.5,192,70.6,61.1,61,3470,,29,12072,50,2003 Acura 3.2 CL 5-spd AT Current,2003,Car/Sedan,-0.244371374
18,5.55555556,3.898,225,114.6,43150,231,212,17.3244444,15,96,18,20,6,5,4,A,54.5,196.6,71.6,61,60.6,3898,,24,9392,45,2003 Acura 3.5 RL Sedan Current,2003,Car/Sedan,0.0645378401
17,5.88235294,3.153,290,99.6,89000,224,194,10.8724138,,,18.5,19,6,2,6,M,46.1,174.2,71.3,59.5,60.7,,3153,24,233,61,2003 Acura NSX 3.2 6-Speed MT Current,2003,Car/Sedan,0.6622635286
17,5.88235294,4.42,260,106.3,35700,250,212,17,,,19.2,19,6,7,5,A,68.7,188.5,77,66.3,66.5,4420,,23,52955,56,2003 Acura MDX Sport Utility Current,2003,SUV,-0.758005454
21,4.76190476,3.23,200,105.1,26490,166,144,16.15,,,17.1,,4,5,6,M,57.3,183.3,69.4,59.6,59.6,,3230,29,,58,2004 Acura TSX 6-speed MT Current,2004,Car/Sedan,-0.104393047
15,6.66666667,4.024,340,108.6,58700,310,255,11.8352941,34,97,21.7,17,8,5,5,A,57,193.4,76.1,62.1,62.6,4024,,21,,50,2003 Audi S6 Avant Current,2003,Car/Sedan,0.2502426303
17,5.88235294,4.068,310,113.4,62200,302,255,13.1225806,18,100,23.7,20,8,5,5,A,56.6,198.2,79,62.6,62.2,4068,,25,1515,45,2003 Audi A8 4.2 Current,2003,Car/Sedan,-0.260556173
16,6.25,4.068,360,113.4,72500,317,255,11.3,18,100,23.8,18,8,5,5,A,55.8,198.2,79,62.6,62.2,4068,,21,,48,2003 Audi S8 4.2 Current,2003,Car/Sedan,-0.129097189
22,4.54545455,3.252,170,104.3,25250,166,109,19.1294118,13,90,18.5,25,4,5,5,M,56.2,179,69.5,60.2,60.1,,3252,31,,,2004 Audi A4 1.8 T Current,2004,Car/Sedan,-0.216101091
