Date,Column,Period,Subscribers,Pct Growth,Subscribe to 1/4,Log Subscribers,Sqrt Subscribers,Residuals Subscribe to 1/4,Mil Sub,Lag Residuals,Lag 2 Residuals,Second Residuals,Lag Prediction,Linear Prediction,Linear^4,Growth,Third Residuals
01Jan1985,1985,1,91600,,17.39698,11.42519,302.6549,-0.52753,0.0916,,,,,17.9245103,103226.023,,
30Jun1985,1985,2,203600,122.2707,21.24195,12.22391,451.2206,0.770035,0.2036,-0.5275301,,2,,20.4719182,175644.338,,
31Dec1985,1985,3,340213,67.09872,24.15115,12.73733,583.2778,1.131819,0.340213,0.77003475,-0.5275301,0.43983508,23.7900402,23.0193262,280782.754,,0.36110482
30Jun1986,1986,4,500000,46.96675,26.59148,13.12236,707.1068,1.024745,0.5,1.13181883,0.77003475,-0.0582628,26.514987,25.5667342,427268.646,,0.07649244
31Dec1986,1986,5,681825,36.365,28.73547,13.43253,825.727,0.621323,0.681825,1.0247453,1.13181883,-0.3759706,28.8740387,28.1141421,624740.046,,-0.1385736
30Jun1987,1987,6,883779,29.61962,30.66097,13.69196,940.0952,-0.00058,0.883779,0.62132291,1.0247453,-0.6108264,30.9709561,30.6615501,883845.65,,-0.309984
31Dec1987,1987,7,1230860,39.27237,33.30828,14.02322,1109.441,0.099319,1.23086,-0.0005781,0.62132291,0.09826667,32.8622074,33.2089581,1216244.81,,0.44606934
30Jun1988,1988,8,1608700,30.69724,35.61384,14.29094,1268.345,-0.14253,1.6087,0.09931867,-0.0005781,-0.2683159,35.734363,35.7563661,1634607.54,,-0.1205261
31Dec1988,1988,9,2060440,28.08106,37.88698,14.53843,1435.423,-0.41679,2.06044,-0.1425292,0.09931867,-0.3198259,37.9864486,38.303774,2152614.53,,-0.0994682
30Jun1989,1989,10,2691790,30.64151,40.50515,14.80572,1640.668,-0.34603,2.69179,-0.4167936,-0.1425292,0.00665646,40.2829721,40.851182,2784957.09,,0.22218251
31Dec1989,1989,11,3500940,30.05992,43.25598,15.06854,1871.08,-0.14261,3.50094,-0.3460274,-0.4167936,0.11496048,43.030255,43.39859,3547337.23,,0.22572611
30Jun1990,1990,12,4368690,24.7862,45.71806,15.28997,2090.141,-0.22794,4.36869,-0.1426089,-0.3460274,-0.2003639,45.8608537,45.9459979,4456467.61,,-0.1427922
31Dec1990,1990,13,5283060,20.93007,47.94258,15.48002,2298.491,-0.55083,5.28306,-0.2279365,-0.1426089,-0.4596519,48.2876632,48.4934059,5530071.55,,-0.3450849
30Jun1991,1991,14,6380050,20.76429,50.25809,15.66869,2525.876,-0.78272,6.38005,-0.5508277,-0.2279365,-0.3863832,50.482411,51.0408139,6786883.01,,-0.2243163
31Dec1991,1991,15,7557150,18.4497,52.43117,15.838,2749.027,-1.15706,7.55715,-0.7827191,-0.5508277,-0.5480897,52.8536895,53.5882218,8246646.65,,-0.4225241
30Jun1992,1992,16,8892540,17.67055,54.60802,16.00072,2982.036,-1.52761,8.89254,-1.1570565,-0.7827191,-0.5611685,55.019335,56.1356298,9930117.75,,-0.4113116
31Dec1992,1992,17,11032800,24.06804,57.63303,16.21638,3321.566,-1.05001,11.0328,-1.5276064,-1.1570565,0.27004813,57.2256943,58.6830378,11859062.3,,0.40733355
30Jun1993,1993,18,13067300,18.44047,60.12381,16.38562,3614.872,-1.10664,13.0673,-1.05001,-1.5276064,-0.2953652,60.5190887,61.2304457,14056256.8,,-0.3952826
31Dec1993,1993,19,16009500,22.51575,63.25494,16.58869,4001.187,-0.52291,16.0095,-1.1066397,-1.05001,0.3227828,62.9136974,63.7778537,16545488.7,,0.34124169
30Jun1994,1994,20,19283300,20.44911,66.2667,16.77475,4391.275,-0.05856,19.2833,-0.5229146,-1.1066397,0.17043884,66.2642143,66.3252617,19351555.9,,0.00248506
31Dec1994,1994,21,24134400,25.157,70.09049,16.99915,4912.677,1.217825,24.1344,-0.0585623,-0.5229146,0.95150973,69.3004163,68.8726697,22500266.9,,0.79007862
30Jun1995,1995,22,28154415,16.65678,72.8428,17.15321,5306.073,1.422722,28.15442,1.21782526,-0.0585623,-0.1645962,73.4083318,71.4200776,26018441.1,,-0.5655325
31Dec1995,1995,23,33785661,20.00129,76.24004,17.33555,5812.543,2.272553,33.78566,1.42272166,1.21782526,0.45373525,75.9373562,73.9674856,29933908.3,33785661,0.30268199
30Jun1996,1996,24,38195466,13.0523,78.61455,17.45823,6180.248,,38.19547,2.27255257,1.42272166,,79.5633999,76.5148936,34275509.1,39130907.3,
31Dec1996,1996,25,44042992,15.30948,81.46465,17.60068,6636.489,,44.04299,,2.27255257,,,79.0623015,39073094.8,45191615.7,
30Jun1997,1997,26,48705553,10.58639,83.54003,17.7013,6978.936,,48.70555,,,,,81.6097095,44357527.2,52052212.3,
31Dec1997,1997,27,55312293,13.56465,86.23934,17.82851,7437.223,,55.31229,,,,,84.1571175,50160679,59806282.8,
30Jun1998,1998,28,60831431,9.97814,88.3145,17.92362,7799.451,,60.83143,,,,,86.7045254,56515433.4,68557509.8,
31Dec1998,1998,29,69209321,13.7723,91.20973,18.05265,8319.214,,69.20932,,,,,89.2519334,63455684.2,78420700.3,
30Jun1999,1999,30,76284753,10.22324,93.45648,18.14998,8734.114,,76.28475,,,,,91.7993414,71016335.9,89522914.8,
31Dec1999,1999,31,86047003,12.79712,96.31278,18.2704,9276.152,,86.047,,,,,94.3467493,79233303.9,102004706,
