Age,Income,Rating,Group
56.8,84.2,4.4,
52.0,77.6,3.4,Med
29.1,44.8,3.5,Low
77.4,110.6,7.4,Hi
70.7,125.5,7.9,Hi
47.1,74.6,4.4,Med
44.3,54.8,3.3,
33.9,62.1,4.0,
49.5,77.0,4.9,Med
56.3,91.2,5.5,
55.0,88.5,5.0,
59.0,79.0,3.2,Med
45.6,74.5,5.7,Med
49.1,69.6,3.3,Med
54.8,85.1,5.5,
33.1,63.9,4.4,
56.5,105.1,7.1,
39.4,37.2,0.6,Low
51.8,52.2,1.8,
51.3,91.2,6.3,
41.9,59.0,3.2,
67.3,124.8,8.2,Hi
57.3,94.8,5.0,
54.3,88.9,6.0,
43.8,66.5,3.7,
34.5,40.2,2.5,Low
43.3,78.5,4.5,Med
43.4,62.6,4.5,
43.4,79.6,6.4,Med
41.8,82.6,5.9,
44.1,95.2,6.6,
48.6,83.4,4.4,
59.0,92.7,5.1,
55.9,78.8,4.6,Med
50.1,60.9,3.3,
38.4,48.6,2.2,
33.3,67.3,5.7,
58.4,101.6,6.5,
55.9,89.2,6.9,
40.0,55.7,4.3,
70.1,115.4,7.0,Hi
49.5,72.8,4.7,Med
50.8,76.4,4.2,Med
40.0,64.5,4.7,
54.2,88.7,5.8,
51.9,90.6,5.4,
54.8,73.9,4.5,Med
38.8,59.8,4.4,
20.9,24.2,1.5,Low
51.8,95.1,6.7,
40.3,83.0,5.6,
59.6,95.9,6.0,
53.9,72.8,4.4,Med
54.7,86.1,5.6,
43.7,76.5,4.7,Med
44.1,72.9,4.2,Med
47.9,102.8,7.4,
47.7,51.3,2.0,
64.3,97.9,5.4,
61.9,107.5,5.8,
51.4,112.0,8.8,Hi
44.1,66.6,4.6,
40.3,54.6,2.6,
45.8,70.8,2.3,Med
43.6,78.6,5.5,Med
66.8,119.5,8.1,Hi
47.9,66.9,5.3,
35.2,59.9,3.8,
27.2,56.0,3.4,
51.8,84.5,5.3,
60.9,90.1,5.0,
49.8,89.3,6.1,
40.0,64.4,4.7,
47.0,76.4,5.6,Med
75.2,117.7,7.2,Hi
