DATE,Sequence Number,VW,SP500,IBM,PACGE,WALMART,TBill30,exVW,exSP500,exIBM,exPACGE,exWALMART
780228,1,-0.0113,-0.0248,-0.0428,0.0213,0.0197,0.004941,-0.016241,-0.029741,-0.047741,0.016359,0.014759
780331,2,0.0326,0.0249,-0.0627,0.0329,-0.0294,0.005017,0.027583,0.019883,-0.067717,0.027883,-0.034417
780428,3,0.0826,0.0854,0.1295,-0.0155,0.24,0.005712,0.076888,0.079688,0.123788,-0.021212,0.234288
780531,4,0.0208,0.0042,-0.0183,0.0157,0.0323,0.005317,0.015483,-0.001117,-0.023617,0.010383,0.026983
780630,5,-0.0124,-0.0176,-0.0039,0.0068,-0.0238,0.005369,-0.017769,-0.022969,-0.009269,0.001431,-0.029169
780731,6,0.0574,0.0539,0.0923,0.0157,0.0481,0.005591,0.051809,0.048309,0.086709,0.010109,0.042509
780831,7,0.0393,0.0259,0.049,0,0.1122,0.00555,0.03375,0.02035,0.04345,-0.00555,0.10665
780929,8,-0.0063,-0.0073,-0.051,-0.0035,0.0204,0.005964,-0.012264,-0.013264,-0.056964,-0.009464,0.014436
781031,9,-0.106,-0.0916,-0.046,-0.0635,-0.1802,0.007498,-0.113498,-0.099098,-0.053498,-0.070998,-0.187698
781130,10,0.0336,0.0166,0.0308,0.0339,0.011,0.007041,0.026559,0.009559,0.023759,0.026859,0.003959
781229,11,0.0165,0.0149,0.1076,-0.0037,-0.0085,0.007372,0.009128,0.007528,0.100228,-0.011072,-0.015872
790131,12,0.0477,0.0397,0.0343,0.1067,-0.0055,0.007882,0.039818,0.031818,0.026418,0.098818,-0.013382
790228,13,-0.0273,-0.0365,-0.0172,-0.0152,0.0221,0.007324,-0.034624,-0.043824,-0.024524,-0.022524,0.014776
790330,14,0.0644,0.0552,0.0517,0.0033,0.0519,0.008928,0.055472,0.046272,0.042772,-0.005628,0.042972
790430,15,0.0077,0.0017,-0.004,-0.0632,0.0464,0.008489,-0.000789,-0.006789,-0.012489,-0.071689,0.037911
790531,16,-0.0136,-0.0263,-0.0217,0.0562,0.0049,0.008161,-0.021761,-0.034461,-0.029861,0.048039,-0.003261
790629,17,0.0461,0.0387,-0.0345,0.0034,-0.0069,0.007858,0.038242,0.030842,-0.042358,-0.004458,-0.014758
790731,18,0.014,0.0087,-0.0494,0,0.0297,0.00841,0.00559,0.00029,-0.05781,-0.00841,0.02129
790831,19,0.0645,0.0531,0.0159,0.0489,0.3202,0.007506,0.056994,0.045594,0.008394,0.041394,0.312694
790928,20,0.0015,0,-0.0321,-0.0421,-0.0693,0.007732,-0.006232,-0.007732,-0.039832,-0.049832,-0.077032
791031,21,-0.0706,-0.0686,-0.0793,0,-0.0745,0.009621,-0.080221,-0.078221,-0.088921,-0.009621,-0.084121
791130,22,0.0632,0.0426,0.0599,0.0333,0.1864,0.009878,0.053322,0.032722,0.050022,0.023422,0.176522
791231,23,0.0259,0.0168,-0.0134,0.0155,-0.005,0.010209,0.015691,0.006591,-0.023609,0.005291,-0.015209
800131,24,0.0651,0.0576,0.066,-0.0707,0.0252,0.007968,0.057132,0.049632,0.058032,-0.078668,0.017232
800229,25,0.0029,-0.0044,-0.0622,0.0234,-0.1018,0.010654,-0.007754,-0.015054,-0.072854,0.012746,-0.112454
800331,26,-0.1159,-0.1018,-0.1221,-0.0274,-0.1063,0.012009,-0.127909,-0.113809,-0.134109,-0.039409,-0.118309
800430,27,0.0506,0.0411,-0.0157,0.1333,0.1404,0.012865,0.037735,0.028235,-0.028565,0.120435,0.127535
800530,28,0.0587,0.0466,0.0248,0.016,0.0539,0.007883,0.050817,0.038717,0.016917,0.008117,0.046017
800630,29,0.0364,0.027,0.061,0.0432,0.1234,0.006312,0.030088,0.020688,0.054688,0.036888,0.117088
800731,30,0.0683,0.065,0.1106,-0.0259,0.1433,0.005281,0.063019,0.059719,0.105319,-0.031181,0.138019
800829,31,0.0203,0.0058,0.017,-0.0213,0.102,0.005973,0.014327,-0.000173,0.011027,-0.027273,0.096027
800930,32,0.0282,0.0252,-0.021,-0.037,0.0363,0.008698,0.019502,0.016502,-0.029698,-0.045698,0.027602
801031,33,0.0188,0.016,0.039,-0.0116,0.01,0.008912,0.009888,0.007088,0.030088,-0.020512,0.001088
801128,34,0.1068,0.1024,0.0354,-0.0282,0.1139,0.008912,0.097888,0.093488,0.026488,-0.037112,0.104988
801231,35,-0.035,-0.0339,-0.0037,0.025,0.0773,0.014149,-0.049149,-0.048049,-0.017849,0.010851,0.063151
810130,36,-0.0418,-0.0457,-0.0516,0.0122,-0.0083,0.009957,-0.051757,-0.055657,-0.061557,0.002243,-0.018257
810227,37,0.0168,0.0133,0.0114,-0.006,0.0542,0.010685,0.006115,0.002615,0.000715,-0.016685,0.043515
810331,38,0.0443,0.036,-0.0292,0.0451,0.1562,0.013157,0.031143,0.022843,-0.042357,0.031943,0.143043
810430,39,-0.016,-0.0235,-0.0601,-0.018,0.0582,0.010756,-0.026756,-0.034256,-0.070856,-0.028756,0.047444
810529,40,0.0112,-0.0017,0.0168,0.0183,0.0032,0.010646,0.000554,-0.012346,0.006154,0.007654,-0.007446
810630,41,-0.0076,-0.0104,-0.0149,0.0805,-0.0177,0.015158,-0.022758,-0.025558,-0.030058,0.065342,-0.032858
810731,42,-0.0012,-0.0022,-0.0302,0.0343,-0.0263,0.011915,-0.013115,-0.014115,-0.042115,0.022385,-0.038215
810831,43,-0.0546,-0.0621,-0.0025,0.011,-0.0354,0.012804,-0.067404,-0.074904,-0.015304,-0.001804,-0.048204
810930,44,-0.0622,-0.0538,-0.0181,0.0133,0.0597,0.012794,-0.074994,-0.066594,-0.030894,0.000506,0.046906
811030,45,0.0575,0.0492,-0.0485,-0.05,0.053,0.011685,0.045815,0.037515,-0.060185,-0.061685,0.041315
811130,46,0.0472,0.0366,0.075,0.0117,0.1038,0.01103,0.03617,0.02557,0.06397,0.00067,0.09277
811231,47,-0.0284,-0.0301,0.0436,0.0025,-0.0299,0.008738,-0.037138,-0.038838,0.034862,-0.006238,-0.038638
820129,48,-0.0251,-0.0175,0.1187,0.0238,-0.0029,0.007306,-0.032406,-0.024806,0.111394,0.016494,-0.010206
820226,49,-0.0519,-0.0606,-0.014,0.0465,-0.0207,0.009176,-0.061076,-0.069776,-0.023176,0.037324,-0.029876
